model,zeroshot_source,property,locality,n_react,react_acc,react_finish_rate,n_zeroshot,zeroshot_acc,delta_pp
V4-Flash,matched (same session),degree_of_node_0,local,300,1.0000,1.0000,300,0.8867,+11.3
V4-Flash,matched (same session),edge_count,local,300,1.0000,1.0000,300,1.0000,+0.0
V4-Flash,matched (same session),is_bipartite,global,300,0.7833,0.8100,300,0.6500,+13.3
V4-Flash,matched (same session),is_planar,global,300,0.3033,0.3100,300,0.3367,-3.3
V4-Flash,matched (same session),triangle_count,global,300,0.0233,0.0233,300,0.0867,-6.3
V4-Flash,matched (same session),diameter,global,300,0.1433,0.1767,300,0.4167,-27.3
V4-Flash,matched (same session),chromatic_number,global,299,0.0736,0.0769,299,0.5184,-44.5
V4-Flash,matched (same session),avg_clustering,global,300,0.0100,0.0100,300,0.1267,-11.7
Qwen3-32B,Experiment 1 committed,degree_of_node_0,local,70,0.9857,1.0000,300,0.9267,+5.9
Qwen3-32B,Experiment 1 committed,edge_count,local,69,1.0000,1.0000,300,1.0000,+0.0
Qwen3-32B,Experiment 1 committed,is_bipartite,global,66,0.6667,0.8182,300,0.7633,-9.7
Qwen3-32B,Experiment 1 committed,is_planar,global,66,0.3182,0.4091,300,0.7167,-39.8
Qwen3-32B,Experiment 1 committed,triangle_count,global,66,0.0455,0.0455,300,0.0300,+1.5
Qwen3-32B,Experiment 1 committed,diameter,global,65,0.0923,0.1077,300,0.1500,-5.8
Qwen3-32B,Experiment 1 committed,chromatic_number,global,65,0.0923,0.1846,299,0.4415,-34.9
Qwen3-32B,Experiment 1 committed,avg_clustering,global,65,0.0308,0.0308,300,0.0067,+2.4
Llama4-Scout,Experiment 1 committed,degree_of_node_0,local,252,0.9921,0.9921,300,0.8400,+15.2
Llama4-Scout,Experiment 1 committed,edge_count,local,252,1.0000,1.0000,300,0.9767,+2.3
Llama4-Scout,Experiment 1 committed,is_bipartite,global,249,0.5221,0.7510,300,0.7567,-23.5
Llama4-Scout,Experiment 1 committed,is_planar,global,249,0.6265,0.8233,300,0.7167,-9.0
Llama4-Scout,Experiment 1 committed,triangle_count,global,249,0.0241,0.0763,300,0.0033,+2.1
Llama4-Scout,Experiment 1 committed,diameter,global,248,0.1371,0.5282,300,0.1067,+3.0
Llama4-Scout,Experiment 1 committed,chromatic_number,global,248,0.3629,0.8750,299,0.3712,-0.8
Llama4-Scout,Experiment 1 committed,avg_clustering,global,248,0.0282,0.4315,300,0.0033,+2.5
Gemini2.5-FL,matched (same session),degree_of_node_0,local,300,0.9867,0.9867,300,0.8900,+9.7
Gemini2.5-FL,matched (same session),edge_count,local,300,0.6167,0.6200,300,1.0000,-38.3
Gemini2.5-FL,matched (same session),is_bipartite,global,300,0.7867,0.8300,300,0.7900,-0.3
Gemini2.5-FL,matched (same session),is_planar,global,300,0.2767,0.2900,300,0.4167,-14.0
Gemini2.5-FL,matched (same session),triangle_count,global,300,0.0133,0.0133,300,0.0500,-3.7
Gemini2.5-FL,matched (same session),diameter,global,300,0.0067,0.0067,300,0.2000,-19.3
Gemini2.5-FL,matched (same session),chromatic_number,global,299,0.0268,0.0401,299,0.4147,-38.8
Gemini2.5-FL,matched (same session),avg_clustering,global,300,0.0033,0.0033,300,0.0067,-0.3
GPT-4.1-mini,Experiment 1 committed,degree_of_node_0,local,229,1.0000,1.0000,300,0.9333,+6.7
GPT-4.1-mini,Experiment 1 committed,edge_count,local,229,1.0000,1.0000,300,1.0000,+0.0
GPT-4.1-mini,Experiment 1 committed,is_bipartite,global,228,0.7895,0.7982,300,0.7900,-0.1
GPT-4.1-mini,Experiment 1 committed,is_planar,global,228,0.3684,0.5482,300,0.7867,-41.8
GPT-4.1-mini,Experiment 1 committed,triangle_count,global,229,0.0131,0.0131,300,0.0000,+1.3
GPT-4.1-mini,Experiment 1 committed,diameter,global,228,0.0219,0.0395,300,0.4000,-37.8
GPT-4.1-mini,Experiment 1 committed,chromatic_number,global,228,0.0439,0.1009,299,0.1906,-14.7
GPT-4.1-mini,Experiment 1 committed,avg_clustering,global,228,0.0132,0.0132,300,0.0067,+0.6
V4-Pro*,matched (same session),degree_of_node_0,local,60,1.0000,1.0000,60,0.9833,+1.7
V4-Pro*,matched (same session),edge_count,local,60,1.0000,1.0000,60,0.9833,+1.7
V4-Pro*,matched (same session),is_bipartite,global,60,0.7000,0.7167,60,0.7333,-3.3
V4-Pro*,matched (same session),is_planar,global,60,0.3167,0.3167,60,0.8667,-55.0
V4-Pro*,matched (same session),triangle_count,global,60,0.0167,0.0167,60,0.0833,-6.7
V4-Pro*,matched (same session),diameter,global,60,0.0667,0.0667,60,0.3000,-23.3
V4-Pro*,matched (same session),chromatic_number,global,60,0.0667,0.0833,60,0.3333,-26.7
V4-Pro*,matched (same session),avg_clustering,global,60,0.0000,0.0000,60,0.0167,-1.7
